[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 1, residual is 0,575605018606515
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 2, residual is 0,327766920128544
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 3, residual is 0,172205148698965
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 4, residual is 0,0972191638263281
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 5, residual is 0,053918860912582
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 6, residual is 0,0274026565989096
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 7, residual is 0,0152471775074354
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 8, residual is 0,00813254442985776
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 9, residual is 0,00420898563244968
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 10, residual is 0,0022707621445574
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 11, residual is 0,00121424681947782
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 12, residual is 0,000626396290076188
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 13, residual is 0,000337172366915091
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 14, residual is 0,000178650685925995
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 15, residual is 9,30675817069928E-05
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 16, residual is 4,96168012617392E-05
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 17, residual is 2,63301955712232E-05
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 18, residual is 1,37348939693271E-05
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 19, residual is 7,31312232165468E-06
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 20, residual is 3,869682969734E-06
